x y z qx qy qz qw yaw_deg direction
3.829047 9.903178 0.000000 0.000000 0.000000 0.908822 -0.417183 -130.69 forward
3.891199 10.053107 0.000000 0.000000 0.000000 0.908433 -0.418030 -130.58 forward
3.952761 10.204385 0.000000 0.000000 0.000000 0.908184 -0.418571 -130.51 forward
4.015272 10.356411 0.000000 0.000000 0.000000 0.907876 -0.419238 -130.43 forward
4.077980 10.509557 0.000000 0.000000 0.000000 0.907568 -0.419906 -130.34 forward
4.140686 10.663863 0.000000 0.000000 0.000000 0.907511 -0.420029 -130.33 forward
4.371166 11.166424 0.000000 0.000000 0.000000 0.907553 -0.419937 -130.34 forward
4.438388 11.329863 0.000000 0.000000 0.000000 0.907326 -0.420428 -130.28 forward
4.505594 11.494394 0.000000 0.000000 0.000000 0.907263 -0.420565 -130.26 forward
4.573460 11.659991 0.000000 0.000000 0.000000 0.907096 -0.420925 -130.21 forward
4.641655 11.826760 0.000000 0.000000 0.000000 0.906928 -0.421285 -130.17 forward
4.709958 11.994579 0.000000 0.000000 0.000000 0.906898 -0.421351 -130.16 forward
4.920446 12.470121 0.000000 0.000000 0.000000 0.906964 -0.421207 -130.18 forward
4.992761 12.646395 0.000000 0.000000 0.000000 0.906843 -0.421469 -130.15 forward
5.063520 12.824472 0.000000 0.000000 0.000000 0.906172 -0.422910 -129.96 forward
5.136076 13.003231 0.000000 0.000000 0.000000 0.905974 -0.423333 -129.91 forward
5.208928 13.183194 0.000000 0.000000 0.000000 0.905777 -0.423756 -129.86 forward
5.268989 13.369578 0.000000 0.000000 0.000000 0.902172 -0.431376 -128.89 forward
5.425216 13.757961 0.000000 0.000000 0.000000 0.901529 -0.432719 -128.72 forward
5.497288 13.947077 0.000000 0.000000 0.000000 0.900855 -0.434121 -128.54 forward
5.568166 14.137830 0.000000 0.000000 0.000000 0.900367 -0.435132 -128.41 forward
5.640169 14.329692 0.000000 0.000000 0.000000 0.899790 -0.436323 -128.26 forward
5.712051 14.522779 0.000000 0.000000 0.000000 0.899213 -0.437512 -128.11 forward
5.784897 14.716845 0.000000 0.000000 0.000000 0.899276 -0.437381 -128.13 forward
5.932609 15.071700 0.000000 0.000000 0.000000 0.899027 -0.437894 -128.06 forward
6.006618 15.272003 0.000000 0.000000 0.000000 0.898594 -0.438782 -127.95 forward
6.081635 15.472899 0.000000 0.000000 0.000000 0.898709 -0.438545 -127.98 forward
6.156304 15.675789 0.000000 0.000000 0.000000 0.898392 -0.439195 -127.89 forward
6.231116 15.879971 0.000000 0.000000 0.000000 0.898074 -0.439844 -127.81 forward
6.307133 16.084752 0.000000 0.000000 0.000000 0.898191 -0.439606 -127.84 forward
6.412201 16.350218 0.000000 0.000000 0.000000 0.898062 -0.439869 -127.81 forward
6.488524 16.559161 0.000000 0.000000 0.000000 0.897828 -0.440346 -127.75 forward
6.565988 16.769030 0.000000 0.000000 0.000000 0.897932 -0.440134 -127.78 forward
6.643158 16.980624 0.000000 0.000000 0.000000 0.897761 -0.440483 -127.73 forward
6.720522 17.193257 0.000000 0.000000 0.000000 0.897589 -0.440832 -127.69 forward
6.799176 17.406884 0.000000 0.000000 0.000000 0.897694 -0.440620 -127.71 forward
6.859857 17.639826 0.000000 0.000000 0.000000 0.897215 -0.441594 -127.59 forward
6.937861 17.856750 0.000000 0.000000 0.000000 0.897089 -0.441850 -127.56 forward
7.017399 18.074408 0.000000 0.000000 0.000000 0.897247 -0.441530 -127.60 forward
7.096326 18.293799 0.000000 0.000000 0.000000 0.897156 -0.441715 -127.57 forward
7.175590 18.514407 0.000000 0.000000 0.000000 0.897064 -0.441900 -127.55 forward
7.256404 18.735694 0.000000 0.000000 0.000000 0.897202 -0.441620 -127.59 forward
7.334395 18.887062 0.000000 0.000000 0.000000 0.897492 -0.441031 -127.66 forward
7.415173 19.109878 0.000000 0.000000 0.000000 0.897425 -0.441166 -127.64 forward
7.496833 19.333452 0.000000 0.000000 0.000000 0.897505 -0.441005 -127.66 forward
7.578511 19.558691 0.000000 0.000000 0.000000 0.897459 -0.441099 -127.65 forward
7.660542 19.785042 0.000000 0.000000 0.000000 0.897412 -0.441193 -127.64 forward
7.743461 20.012261 0.000000 0.000000 0.000000 0.897472 -0.441071 -127.66 forward
7.776988 20.140314 0.000000 0.000000 0.000000 0.897249 -0.441524 -127.60 forward
7.859173 20.368153 0.000000 0.000000 0.000000 0.897216 -0.441592 -127.59 forward
7.942395 20.597116 0.000000 0.000000 0.000000 0.897283 -0.441457 -127.61 forward
8.025581 20.827625 0.000000 0.000000 0.000000 0.897257 -0.441510 -127.60 forward
8.109092 21.059115 0.000000 0.000000 0.000000 0.897230 -0.441563 -127.59 forward
8.193630 21.291577 0.000000 0.000000 0.000000 0.897295 -0.441432 -127.61 forward
8.246160 21.347443 0.000000 0.000000 0.000000 0.897767 -0.440471 -127.73 forward
8.330716 21.578877 0.000000 0.000000 0.000000 0.897747 -0.440511 -127.73 forward
8.415513 21.811320 0.000000 0.000000 0.000000 0.897735 -0.440536 -127.72 forward
8.500941 22.045211 0.000000 0.000000 0.000000 0.897721 -0.440564 -127.72 forward
8.586726 22.280112 0.000000 0.000000 0.000000 0.897708 -0.440592 -127.72 forward
8.672945 22.516028 0.000000 0.000000 0.000000 0.897743 -0.440520 -127.73 forward
8.681127 22.559385 0.000000 0.000000 0.000000 0.897627 -0.440755 -127.70 forward
8.766519 22.793693 0.000000 0.000000 0.000000 0.897626 -0.440758 -127.70 forward
8.851633 23.029645 0.000000 0.000000 0.000000 0.897483 -0.441048 -127.66 forward
8.937760 23.266417 0.000000 0.000000 0.000000 0.897468 -0.441079 -127.65 forward
9.024255 23.504243 0.000000 0.000000 0.000000 0.897453 -0.441109 -127.65 forward
9.110700 23.743231 0.000000 0.000000 0.000000 0.897435 -0.441147 -127.65 forward
9.105557 23.676344 0.000000 0.000000 0.000000 0.897726 -0.440554 -127.72 forward
9.191629 23.911304 0.000000 0.000000 0.000000 0.897723 -0.440560 -127.72 forward
9.277174 24.147443 0.000000 0.000000 0.000000 0.897617 -0.440775 -127.69 forward
9.364100 24.385030 0.000000 0.000000 0.000000 0.897615 -0.440780 -127.69 forward
9.451207 24.623104 0.000000 0.000000 0.000000 0.897613 -0.440784 -127.69 forward
9.537735 24.862687 0.000000 0.000000 0.000000 0.897492 -0.441031 -127.66 forward
9.545290 24.807197 0.000000 0.000000 0.000000 0.897903 -0.440193 -127.77 forward
9.632205 25.042639 0.000000 0.000000 0.000000 0.897898 -0.440204 -127.77 forward
9.719885 25.278805 0.000000 0.000000 0.000000 0.898172 -0.439644 -127.84 forward
9.807875 25.516129 0.000000 0.000000 0.000000 0.898237 -0.439511 -127.85 forward
9.896318 25.754440 0.000000 0.000000 0.000000 0.898302 -0.439378 -127.87 forward
9.998782 25.988659 0.000000 0.000000 0.000000 0.901454 -0.432874 -128.70 forward
9.967424 25.941398 0.000000 0.000000 0.000000 0.901750 -0.432259 -128.78 forward
10.058664 26.175820 0.000000 0.000000 0.000000 0.902307 -0.431094 -128.93 forward
10.152380 26.409505 0.000000 0.000000 0.000000 0.902967 -0.429709 -129.10 forward
10.245545 26.645052 0.000000 0.000000 0.000000 0.903486 -0.428617 -129.24 forward
10.339682 26.881370 0.000000 0.000000 0.000000 0.904004 -0.427524 -129.38 forward
10.433104 27.119038 0.000000 0.000000 0.000000 0.903914 -0.427714 -129.35 forward
10.390317 26.982129 0.000000 0.000000 0.000000 0.904386 -0.426715 -129.48 forward
10.483478 27.213206 0.000000 0.000000 0.000000 0.904771 -0.425899 -129.58 forward
10.575904 27.445804 0.000000 0.000000 0.000000 0.904656 -0.426142 -129.55 forward
10.670039 27.678521 0.000000 0.000000 0.000000 0.904945 -0.425529 -129.63 forward
10.764924 27.912166 0.000000 0.000000 0.000000 0.905233 -0.424915 -129.71 forward
10.859270 28.146966 0.000000 0.000000 0.000000 0.905187 -0.425013 -129.70 forward
10.768822 27.896167 0.000000 0.000000 0.000000 0.905503 -0.424340 -129.78 forward
10.861373 28.122441 0.000000 0.000000 0.000000 0.905728 -0.423860 -129.84 forward
10.952477 28.350187 0.000000 0.000000 0.000000 0.905437 -0.424481 -129.76 forward
11.045658 28.578236 0.000000 0.000000 0.000000 0.905577 -0.424181 -129.80 forward
11.139270 28.806895 0.000000 0.000000 0.000000 0.905718 -0.423881 -129.84 forward
11.232721 29.036562 0.000000 0.000000 0.000000 0.905731 -0.423853 -129.84 forward
11.130049 28.801350 0.000000 0.000000 0.000000 0.905736 -0.423843 -129.85 forward
11.220730 29.022991 0.000000 0.000000 0.000000 0.905859 -0.423580 -129.88 forward
11.311407 29.245580 0.000000 0.000000 0.000000 0.905813 -0.423678 -129.87 forward
11.402789 29.468726 0.000000 0.000000 0.000000 0.905901 -0.423489 -129.89 forward
11.494558 29.692540 0.000000 0.000000 0.000000 0.905990 -0.423300 -129.91 forward
11.585958 29.917184 0.000000 0.000000 0.000000 0.905889 -0.423514 -129.89 forward
11.521802 29.700040 0.000000 0.000000 0.000000 0.906253 -0.422735 -129.99 forward
11.611458 29.917093 0.000000 0.000000 0.000000 0.906308 -0.422619 -130.00 forward
11.700727 30.134745 0.000000 0.000000 0.000000 0.906236 -0.422772 -129.98 forward
11.790905 30.353083 0.000000 0.000000 0.000000 0.906275 -0.422688 -129.99 forward
11.881390 30.572035 0.000000 0.000000 0.000000 0.906315 -0.422604 -130.00 forward
11.971355 30.791895 0.000000 0.000000 0.000000 0.906203 -0.422842 -129.97 forward
11.879293 30.643180 0.000000 0.000000 0.000000 0.905825 -0.423651 -129.87 forward
11.966510 30.856892 0.000000 0.000000 0.000000 0.905846 -0.423606 -129.88 forward
12.053576 31.070927 0.000000 0.000000 0.000000 0.905773 -0.423762 -129.86 forward
12.141185 31.285763 0.000000 0.000000 0.000000 0.905775 -0.423759 -129.86 forward
12.229035 31.501180 0.000000 0.000000 0.000000 0.905777 -0.423755 -129.86 forward
12.316620 31.717433 0.000000 0.000000 0.000000 0.905650 -0.424026 -129.82 forward
12.265375 31.576307 0.000000 0.000000 0.000000 0.905717 -0.423882 -129.84 forward
12.351011 31.786382 0.000000 0.000000 0.000000 0.905698 -0.423924 -129.83 forward
12.436516 31.996781 0.000000 0.000000 0.000000 0.905628 -0.424074 -129.82 forward
12.522479 32.207905 0.000000 0.000000 0.000000 0.905601 -0.424131 -129.81 forward
12.608711 32.419759 0.000000 0.000000 0.000000 0.905574 -0.424189 -129.80 forward
12.695524 32.631307 0.000000 0.000000 0.000000 0.905700 -0.423919 -129.84 forward
12.640803 32.452946 0.000000 0.000000 0.000000 0.905921 -0.423447 -129.90 forward
12.724879 32.657993 0.000000 0.000000 0.000000 0.905919 -0.423451 -129.89 forward
12.809550 32.863302 0.000000 0.000000 0.000000 0.906050 -0.423171 -129.93 forward
12.894282 33.069544 0.000000 0.000000 0.000000 0.906073 -0.423122 -129.94 forward
12.979141 33.276021 0.000000 0.000000 0.000000 0.906096 -0.423073 -129.94 forward
13.061817 33.483777 0.000000 0.000000 0.000000 0.905524 -0.424295 -129.79 forward
12.994612 33.330705 0.000000 0.000000 0.000000 0.905398 -0.424564 -129.75 forward
13.076277 33.531568 0.000000 0.000000 0.000000 0.905321 -0.424728 -129.73 forward
13.150250 33.735939 0.000000 0.000000 0.000000 0.903666 -0.428238 -129.29 forward
13.230727 33.938395 0.000000 0.000000 0.000000 0.903436 -0.428723 -129.23 forward
13.311074 34.141148 0.000000 0.000000 0.000000 0.903206 -0.429207 -129.17 forward
13.388396 34.345637 0.000000 0.000000 0.000000 0.902715 -0.430239 -129.03 forward
13.353361 34.264802 0.000000 0.000000 0.000000 0.902524 -0.430640 -128.98 forward
13.431208 34.463496 0.000000 0.000000 0.000000 0.902331 -0.431044 -128.93 forward
13.507385 34.662773 0.000000 0.000000 0.000000 0.902071 -0.431587 -128.86 forward
13.585198 34.862386 0.000000 0.000000 0.000000 0.901930 -0.431883 -128.83 forward
13.662903 35.062098 0.000000 0.000000 0.000000 0.901788 -0.432179 -128.79 forward
13.739146 35.262643 0.000000 0.000000 0.000000 0.901576 -0.432620 -128.73 forward
13.697540 35.192215 0.000000 0.000000 0.000000 0.901332 -0.433129 -128.67 forward
13.772823 35.387610 0.000000 0.000000 0.000000 0.901228 -0.433345 -128.64 forward
13.847296 35.583638 0.000000 0.000000 0.000000 0.901076 -0.433660 -128.60 forward
13.922707 35.779925 0.000000 0.000000 0.000000 0.900999 -0.433821 -128.58 forward
13.998151 35.976495 0.000000 0.000000 0.000000 0.900922 -0.433982 -128.56 forward
14.072770 36.173499 0.000000 0.000000 0.000000 0.900799 -0.434236 -128.53 forward
14.075072 36.114812 0.000000 0.000000 0.000000 0.901055 -0.433705 -128.59 forward
14.149455 36.307073 0.000000 0.000000 0.000000 0.900998 -0.433824 -128.58 forward
14.223020 36.499815 0.000000 0.000000 0.000000 0.900855 -0.434120 -128.54 forward
14.297514 36.692771 0.000000 0.000000 0.000000 0.900813 -0.434208 -128.53 forward
14.372049 36.885926 0.000000 0.000000 0.000000 0.900771 -0.434295 -128.52 forward
14.445846 37.079569 0.000000 0.000000 0.000000 0.900661 -0.434522 -128.49 forward
14.425536 37.082169 0.000000 0.000000 0.000000 0.900392 -0.435080 -128.42 forward
14.498185 37.272298 0.000000 0.000000 0.000000 0.900362 -0.435141 -128.41 forward
14.570540 37.462745 0.000000 0.000000 0.000000 0.900300 -0.435270 -128.40 forward
14.643394 37.653588 0.000000 0.000000 0.000000 0.900278 -0.435316 -128.39 forward
14.716189 37.844324 0.000000 0.000000 0.000000 0.900255 -0.435362 -128.38 forward
14.788689 38.035345 0.000000 0.000000 0.000000 0.900203 -0.435471 -128.37 forward
14.811287 38.039677 0.000000 0.000000 0.000000 0.900437 -0.434986 -128.43 forward
14.883518 38.227384 0.000000 0.000000 0.000000 0.900420 -0.435021 -128.43 forward
14.955330 38.415448 0.000000 0.000000 0.000000 0.900337 -0.435193 -128.40 forward
15.027657 38.603581 0.000000 0.000000 0.000000 0.900324 -0.435220 -128.40 forward
15.100055 38.791913 0.000000 0.000000 0.000000 0.900311 -0.435247 -128.40 forward
15.172053 38.980646 0.000000 0.000000 0.000000 0.900239 -0.435395 -128.38 forward
15.170576 39.037072 0.000000 0.000000 0.000000 0.899968 -0.435957 -128.31 forward
15.241492 39.223403 0.000000 0.000000 0.000000 0.899957 -0.435978 -128.30 forward
15.312312 39.409795 0.000000 0.000000 0.000000 0.899936 -0.436022 -128.30 forward
15.383416 39.596666 0.000000 0.000000 0.000000 0.899927 -0.436040 -128.30 forward
15.454548 39.783620 0.000000 0.000000 0.000000 0.899919 -0.436058 -128.29 forward
15.525580 39.970672 0.000000 0.000000 0.000000 0.899897 -0.436102 -128.29 forward
15.564632 40.020735 0.000000 0.000000 0.000000 0.900123 -0.435635 -128.35 forward
15.635480 40.205399 0.000000 0.000000 0.000000 0.900116 -0.435650 -128.35 forward
15.705953 40.390338 0.000000 0.000000 0.000000 0.900027 -0.435833 -128.32 forward
15.776807 40.575202 0.000000 0.000000 0.000000 0.900016 -0.435857 -128.32 forward
15.847746 40.760295 0.000000 0.000000 0.000000 0.900005 -0.435881 -128.32 forward
15.918491 40.945582 0.000000 0.000000 0.000000 0.899978 -0.435935 -128.31 forward
15.931743 41.040955 0.000000 0.000000 0.000000 0.899710 -0.436488 -128.24 forward
16.001576 41.224928 0.000000 0.000000 0.000000 0.899705 -0.436499 -128.24 forward
16.080491 41.405397 0.000000 0.000000 0.000000 0.902449 -0.430797 -128.96 forward
16.152793 41.588565 0.000000 0.000000 0.000000 0.902873 -0.429908 -129.08 forward
16.225531 41.771767 0.000000 0.000000 0.000000 0.903296 -0.429018 -129.19 forward
16.298918 41.954608 0.000000 0.000000 0.000000 0.903532 -0.428521 -129.25 forward
16.303668 42.037856 0.000000 0.000000 0.000000 0.903547 -0.428489 -129.26 forward
16.375798 42.219350 0.000000 0.000000 0.000000 0.903892 -0.427760 -129.35 forward
16.447658 42.400568 0.000000 0.000000 0.000000 0.903897 -0.427751 -129.35 forward
16.520177 42.582323 0.000000 0.000000 0.000000 0.904149 -0.427217 -129.42 forward
16.592798 42.763708 0.000000 0.000000 0.000000 0.904401 -0.426684 -129.49 forward
16.665327 42.945523 0.000000 0.000000 0.000000 0.904387 -0.426712 -129.48 forward
16.697427 43.070417 0.000000 0.000000 0.000000 0.904369 -0.426751 -129.48 forward
16.769638 43.251186 0.000000 0.000000 0.000000 0.904554 -0.426360 -129.53 forward
16.841733 43.431876 0.000000 0.000000 0.000000 0.904558 -0.426351 -129.53 forward
