x y z qx qy qz qw yaw_deg direction
7.936039 18.697896 0.000000 0.000000 0.000000 0.289576 0.957155 33.67 reverse
7.942818 18.695984 0.000000 0.000000 0.000000 0.281703 0.959502 32.72 reverse
8.056765 18.755607 0.000000 0.000000 0.000000 0.273917 0.961753 31.79 reverse
8.065965 18.753724 0.000000 0.000000 0.000000 0.265049 0.964235 30.74 reverse
8.075219 18.751799 0.000000 0.000000 0.000000 0.240530 0.970642 27.84 reverse
8.084474 18.749692 0.000000 0.000000 0.000000 0.232621 0.972568 26.90 reverse
8.093700 18.747307 0.000000 0.000000 0.000000 0.224982 0.974363 26.00 reverse
8.102947 18.744840 0.000000 0.000000 0.000000 0.217272 0.976111 25.10 reverse
8.215666 18.795480 0.000000 0.000000 0.000000 0.209679 0.977770 24.21 reverse
8.227283 18.792950 0.000000 0.000000 0.000000 0.203382 0.979100 23.47 reverse
8.238914 18.790240 0.000000 0.000000 0.000000 0.195990 0.980606 22.61 reverse
8.250604 18.787310 0.000000 0.000000 0.000000 0.188558 0.982062 21.74 reverse
8.262281 18.784325 0.000000 0.000000 0.000000 0.183747 0.982974 21.18 reverse
8.273949 18.781049 0.000000 0.000000 0.000000 0.176805 0.984246 20.37 reverse
8.382873 18.825743 0.000000 0.000000 0.000000 0.170008 0.985443 19.58 reverse
8.396852 18.822549 0.000000 0.000000 0.000000 0.166430 0.986053 19.16 reverse
8.410822 18.818977 0.000000 0.000000 0.000000 0.147388 0.989079 16.95 reverse
8.424807 18.815191 0.000000 0.000000 0.000000 0.140940 0.990018 16.20 reverse
8.438921 18.811589 0.000000 0.000000 0.000000 0.138461 0.990368 15.92 reverse
8.452960 18.807482 0.000000 0.000000 0.000000 0.132590 0.991171 15.24 reverse
8.556286 18.848790 0.000000 0.000000 0.000000 0.126907 0.991915 14.58 reverse
8.572562 18.845029 0.000000 0.000000 0.000000 0.125404 0.992106 14.41 reverse
8.588768 18.840719 0.000000 0.000000 0.000000 0.120120 0.992759 13.80 reverse
8.605051 18.836192 0.000000 0.000000 0.000000 0.114821 0.993386 13.19 reverse
8.621524 18.832116 0.000000 0.000000 0.000000 0.114280 0.993449 13.12 reverse
8.637883 18.827335 0.000000 0.000000 0.000000 0.109603 0.993975 12.58 reverse
8.734335 18.867170 0.000000 0.000000 0.000000 0.105148 0.994457 12.07 reverse
8.752833 18.863085 0.000000 0.000000 0.000000 0.105473 0.994422 12.11 reverse
8.771234 18.858290 0.000000 0.000000 0.000000 0.094714 0.995505 10.87 reverse
8.789729 18.853300 0.000000 0.000000 0.000000 0.090641 0.995884 10.40 reverse
